top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1717605 nishant+  20   0   54.5g 259388 119536 R  25.7   1.6  11:51.59 code
2327304 nishant+  20   0   20636   4484   3556 R  14.3   0.0   0:00.09 top
  74205 root      20   0 1245184 336768  38004 S   8.6   2.1 192:11.93 kube-ap+
   7701 nishant+  20   0 1185328  99032  47092 S   5.7   0.6  31:29.32 Xorg
  17068 nishant+  20   0   33.1g 286708 174680 S   5.7   1.8  56:40.58 chrome
  72916 root      20   0 2300220  73112  28912 S   5.7   0.4 110:29.01 kubelet
1625467 nishant+  20   0 1129.9g 348740 115668 S   5.7   2.1   7:18.81 chrome
     22 root      20   0       0      0      0 S   2.9   0.0   1:32.94 ksoftir+
    415 root     -51   0       0      0      0 S   2.9   0.0   6:21.47 irq/130+
   7975 nishant+  20   0 4925736 359808  85248 S   2.9   2.2  58:08.43 gnome-s+
  17389 nishant+  20   0 1131.0g 368292 134944 S   2.9   2.3  40:50.61 chrome
      1 root      20   0  170668  13768   7940 S   0.0   0.1   0:15.93 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.10 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:14.82 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:28.55 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   4:55.80 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:02.35 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:02.46 migrati+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:02.55 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:20.30 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:02.66 migrati+
     34 root      20   0       0      0      0 S   0.0   0.0   0:26.40 ksoftir+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kauditd
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.48 khungta+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     43 root      20   0       0      0      0 S   0.0   0.0   1:32.76 kcompac+
     44 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     45 root      39  19       0      0      0 S   0.0   0.0   0:01.29 khugepa+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:08.45 kworker+
